Confirmed,Country,End date,Level,Place,Start date,URL
,Armenia,04/14/2020,State,Tavush,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Vayots Dzor,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Armenia,04/14/2020,State,Yerevan,03/15/2020,https://www.bloomberg.com/news/articles/2020-03-16/armenia-declares-30-day-state-of-emergency-over-coronavirus
,Kuwait,04/20/2020,State,Al-Shuyoukh,04/06/2020,https://english.alarabiya.net/en/News/gulf/2020/04/06/Coronavirus-Kuwait-orders-two-areas-into-full-lockdown-extends-partial-curfew-to-6-
,Kuwait,04/20/2020,State,Mahboula,04/06/2020,https://english.alarabiya.net/en/News/gulf/2020/04/06/Coronavirus-Kuwait-orders-two-areas-into-full-lockdown-extends-partial-curfew-to-6-
,Azerbaijan,04/20/2020,National,Baku,03/31/2020,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/azerbaijan-to-impose-curfew-amid-coronavirus-outbreak/1785680
,Bahrain,04/09/2020,State,Capital,03/26/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
,Bahrain,04/09/2020,State,Muharraq,03/26/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
,Bahrain,04/09/2020,State,Northern,03/26/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
,Bahrain,04/09/2020,State,Southern,03/26/2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
,Kazakhstan,04/15/2020,City,Almaty,03/19/2020,https://www.thejakartapost.com/news/2020/03/20/kazakhstan-locks-down-two-biggest-cities-due-to-virus.html
,Kazakhstan,04/15/2020,City,Nur-Sultan,03/19/2020,https://www.thejakartapost.com/news/2020/03/20/kazakhstan-locks-down-two-biggest-cities-due-to-virus.html
,Tusinia,04/19/2020,State,Ariana,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Beja,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Ben Arous,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Bizerte,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Gabes,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Gafsa,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Jendouba,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Kebi,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Kafe,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Mahdia,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Manouba,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Medinine,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Sfax,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,Tusinia,04/19/2020,State,Tozeur,03/20/2020,https://www.aljazeera.com/news/2020/03/tunisia-extends-lockdown-weeks-releases-prisoners-200331194042414.html
,North Mcedania,04/18/2020,National,Skopje,03/18/2020,https://www.usnews.com/news/world/articles/2020-03-18/north-macedonia-declares-state-of-emergency-over-coronavirus-outbreak
,Latvia,/Not confirmed/,National,Riga,03/17/2020,https://eng.lsm.lv/article/society/health/latvia-to-close-borders-to-passenger-traffic-on-tuesday-17-march.a351774/
,Lebonan,/Not confirmed/,State,Akkar ,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,Beirut,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,Beqa,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,Mount lebonan,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,Nabatieh,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,North,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,South,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Lebonan,/Not confirmed/,State,Baalbek Harmel,03/15/2020,https://www.france24.com/en/20200315-lebanon-announces-two-week-lockdown-over-coronavirus
,Uzbekistan,/Not confirmed/,State,Andijan,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Bukhara,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,fergana,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Jizzakh,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Xorarm,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Namangan,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Navoiy,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Qashqadaryo,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Samarqand,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Sirdaryo,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Surxondaryo,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Tashkent ,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Uzbekistan,/Not confirmed/,State,Karakalpakstan,03/23/2020,https://thediplomat.com/2020/04/uzbekistan-adopts-strict-regulations-to-fight-covid-19/
,Cyprus,04/30/2020,State,Nicosia,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Cyprus,04/30/2020,State,Famagusta,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Cyprus,04/30/2020,State,Kyrenia,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Cyprus,04/30/2020,State,Larnacca,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Cyprus,04/30/2020,State,Limassol,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Cyprus,04/30/2020,State,Paohos,03/24/2020,https://cyprus-mail.com/2020/04/06/coronavirus-lockdown-to-be-extended-to-end-of-april-reports/
,Costa Rica,/Not Confirmed/,National,San José,03/18/2020,https://www.google.com/search?q=costa+rica+capital&rlz=1C1CHBD_enPK895PK895&oq=costa+rica+cap&aqs=chrome.1.69i57j0l7.7176j0j4&sourceid=chrome&ie=UTF-8
,Cuba,04/07/2020,National,Havanna,03/24/2020,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-24-20-intl-hnk/h_7b694d17a78f2c02d7c76570e1726508
,Oman,04/22/2020,National,Muscat,04/10/22,https://www.garda.com/crisis24/news-alerts/330531/oman-government-to-lock-down-muscat-province-april-10-22-update-7
,Albania,/Not Confirmed/,National,Tiranna,03/16/2020,https://www.garda.com/crisis24/news-alerts/328421/albania-government-extends-lockdown-measures-indefinitely-from-april-1-update-7
,Jordan,/Not Confirmed/,National,Amman,03/18/2020,https://www.al-monitor.com/pulse/originals/2020/03/jordan-state-of-emergency-coronavirus-public-economy.html
,Malta,/Not Confirmed/,National,Valleta,03/26/2020,http://www.xinhuanet.com/english/2020-03/27/c_138920955.htm
,Bangladesh,04/11/2020,State,Barrisal,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Chittagong,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Dhaka,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Khulna,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Memynsing,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Rajshahi,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Nagpur,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Bangladesh,04/11/2020,State,Sylhet,03/26/2020,https://www.aa.com.tr/en/asia-pacific/covid-19-bangladesh-extends-shutdown-until-april-11/1786610
,Ghana,04/14/2020,National,Accra,03/30/2020,http://apanews.net/en/news/covid-19-ghana-goes-on-partial-lockdown
,Nigeria,04/14/2020,City,Lagos,03/30/2020,https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html
,Nigeria,04/14/2020,City,Aboga,03/30/2020,https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html
,Nigeria,04/14/2020,City,Ogun,03/30/2020,https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html
,Bolvia,04/15/2020,National,Sucre,03/20/2020,https://edition.cnn.com/world/live-news/coronavirus-outbreak-03-17-20-intl-hnk/index.html
,Palestine,/Not Confirmed/,State,West Bank,03/23/2020,https://www.haaretz.com/israel-news/dozens-of-new-york-hasidic-jews-in-coronavirus-quarantine-after-arriving-in-israel-1.8689682
,Montenegro,/Not Confirmed/,National,Podgorica,03/30/2020,https://www.reuters.com/article/health-coronavirus-montenegro/montenegro-introduces-lockdown-to-fight-coronavirus-idUSL8N2BN88Z
,Vietnam,04/14/2020,National,Hanoi,03/31/2020,https://www.voanews.com/science-health/coronavirus-outbreak/vietnam-orders-national-isolation-after-initial-containment
,Senegal,/Not Confirmed/,National,Dakar,03/22/2020,https://www.aljazeera.com/news/2020/03/senegal-shuts-borders-fears-africa-virus-hotspot-200322101612763.html
,Georgia,04/13/2020,National,Tbilisi,04/02/2020,https://www.ajc.com/news/one-month-after-warnings-kemp-puts-georgia-lockdown/db6Aodv3LzftEV89WA1EOI/
,Venezuela,/Not Confirmed/,National,Caracas,03/16/2020,https://venezuelanalysis.com/news/14813
,Guineas,04/30/2020,National,Conakry,03/24/2020,https://www.businessadvantagepng.com/papua-new-guineas-state-of-emergency-extended-for-two-more-months/
,Russia,04/30/2020,State,Adygia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Bashkortostan,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Buryatia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Altai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Dagestan,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Ingushetia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kabardino-Balkar,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kalmykia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Karachay cherkess,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kearelia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Komi,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Mari El,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Mordovia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Sakha,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,North Ossetia Alania,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tatarstan,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tuvi,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Udmurt,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kakassia,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Chechen,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Chuvash,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Altai Krai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Krasnodar krai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Primorsky,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Stavropol,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Khabarovsk,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Amur Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Arkhangelsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Astrakhan Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Belgorod Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Bryansk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Vladimir Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Volgograd Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Vologda Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Voronezh Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Ivanovo Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Irkutsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kaliningrad Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kaluga Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kamchatka Krai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kemerovo Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kirov Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kostroma Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kurgan Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Kursk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Leningrad Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Lipetsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Magadan Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Moscow Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Murmansk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Nizhny Novgorod Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Novgorod Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Novosibirsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Omsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Orenburg Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Oryol Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Penza Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Perm Krai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Pskov Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Rostov Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Ryazan Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Samara Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Saratov Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Sakhalin Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State, Sverdlovsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Smolensk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State, Tambov Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tver Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tomsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tula Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Tyumen Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Ulyanovsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Chelyabinsk Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Zabaykalsky Krai,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Yaroslavl Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Moscow Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Saint Petersburg,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Jewish Autonomous Oblast,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State, Nenets Autonomous Okrug,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Khanty–Mansi Autonomous Okrug – Yugra,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Chukotka Autonomous Okrug,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Yamalo-Nenets Autonomous Okrug,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Crimea,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Russia,04/30/2020,State,Sevastopol,03/30/2020,https://www.aljazeera.com/news/2020/04/putin-extends-russia-coronavirus-nonworking-period-200402184928937.html
,Brunei,/Not Confirmed/,National,Bandar Seri Begawan,03/24/2020,https://www.thestar.com.my/news/regional/2020/03/24/all-foreigners-banned-from-entering-brunei-from-march-24
,Djibouti ,/Not Confirmed/,State,Ali Sabieh,03/23/2020,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020
,Djibouti ,/Not Confirmed/,State,Arta,03/23/2020,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020
,Djibouti ,/Not Confirmed/,State,Dikhil,03/23/2020,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020
,Djibouti ,/Not Confirmed/,State,Tadjourah,03/23/2020,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020
,Djibouti ,/Not Confirmed/,State,Obock,03/23/2020,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020
,Paraguay,04/12/2020,National,Asunción,03/20/2020,https://www.aa.com.tr/en/americas/paraguay-extends-lockdown-until-april-12-amid-virus/1783353
,Gibraltar,/Not Confirmed/,National,,03/22/2020,https://www.express.co.uk/news/world/1258742/Gibraltar-news-coronavirus-fabian-picardo-total-social-lockdown-spain-police
,Cambodia,04/05/2020,National,Phnom Penh,03/30/2020,https://timesofindia.indiatimes.com/world/rest-of-world/cambodia-casinos-shut-down-as-coronavirus-cases-climb/articleshow/74885236.cms
,Rwanda,04/19/2020,National,Africa,03/21/2020,https://www.cnbcafrica.com/news/2020/04/02/rwanda-extends-covid-19-lockdown-by-two-weeks/
,Trinidad and Tobago ,/Not Confirmed/,National,Africa,03/16/2020,https://trinidadexpress.com/news/local/t-t-in--day-lockdown/article_ff1a6016-67ee-11ea-8cfb-17af96726cb5.html
